Name	Alternate Names	Active
Chennai Super Kings		1
Deccan Chargers		1
Delhi Capitals	Delhi Daredevils	1
Gujarat Lions		1
Kings XI Punjab		1
Kochi Tuskers Kerala	Kochi|Kerala	1
Kolkata Knight Riders		1
Mumbai Indians		1
Pune Warriors		1
Rajasthan Royals		1
Rising Pune Supergiant	Rising Pune Supergiants	1
Royal Challengers Bangalore		1
Sunrisers Hyderabad		1
